utterance_id	speaker_id
Artur-J-Gvecg-P500026.u13	Artur-J-G3057
Artur-J-Gvecg-P500026.u14	Artur-J-G3056
Artur-J-Gvecg-P500026.u15	Artur-J-G3057
Artur-J-Gvecg-P500026.u16	Artur-J-G3056
Artur-J-Gvecg-P500026.u17	Artur-J-G3057
Artur-J-Gvecg-P500026.u18	Artur-J-G3055
Artur-J-Gvecg-P500026.u19	Artur-J-G3055
Artur-J-Gvecg-P500026.u2	Artur-J-G3057
Artur-J-Gvecg-P500026.u20	Artur-J-G3057
Artur-J-Gvecg-P500026.u21	Artur-J-G3056
Artur-J-Gvecg-P500026.u23	Artur-J-G3057
Artur-J-Gvecg-P500026.u24	Artur-J-G3056
Artur-J-Gvecg-P500026.u25	Artur-J-G3056
Artur-J-Gvecg-P500026.u26	Artur-J-G3057
Artur-J-Gvecg-P500026.u28	Artur-J-G3055
Artur-J-Gvecg-P500026.u29	Artur-J-G3057
Artur-J-Gvecg-P500026.u31	Artur-J-G3057
Artur-J-Gvecg-P500026.u32	Artur-J-G3055
Artur-J-Gvecg-P500026.u33	Artur-J-G3057
Artur-J-Gvecg-P500026.u34	Artur-J-G3056
Artur-J-Gvecg-P500026.u35	Artur-J-G3057
Artur-J-Gvecg-P500026.u36	Artur-J-G3056
Artur-J-Gvecg-P500026.u38	Artur-J-G3057
Artur-J-Gvecg-P500026.u4	Artur-J-G3057
Artur-J-Gvecg-P500026.u40	Artur-J-G3057
Artur-J-Gvecg-P500026.u41	Artur-J-G3055
Artur-J-Gvecg-P500026.u42	Artur-J-G3056
Artur-J-Gvecg-P500026.u43	Artur-J-G3057
Artur-J-Gvecg-P500026.u45	Artur-J-G3057
Artur-J-Gvecg-P500026.u46	Artur-J-G3056
Artur-J-Gvecg-P500026.u47	Artur-J-G3057
Artur-J-Gvecg-P500026.u48	Artur-J-G3056
Artur-J-Gvecg-P500026.u50	Artur-J-G3056
Artur-J-Gvecg-P500026.u51	Artur-J-G3057
Artur-J-Gvecg-P500026.u53	Artur-J-G3055
Artur-J-Gvecg-P500026.u54	Artur-J-G3056
Artur-J-Gvecg-P500026.u56	Artur-J-G3057
Artur-J-Gvecg-P500026.u6	Artur-J-G3057
Artur-J-Gvecg-P500026.u8	Artur-J-G3055
Artur-J-Gvecg-P500027.u10	Artur-J-G3057
Artur-J-Gvecg-P500027.u11	Artur-J-G3060
Artur-J-Gvecg-P500027.u12	Artur-J-G3057
Artur-J-Gvecg-P500027.u13	Artur-J-G3060
Artur-J-Gvecg-P500027.u14	Artur-J-G3057
Artur-J-Gvecg-P500027.u15	Artur-J-G3058
Artur-J-Gvecg-P500027.u16	Artur-J-G3057
Artur-J-Gvecg-P500027.u17	Artur-J-G3058
Artur-J-Gvecg-P500027.u18	Artur-J-G3057
Artur-J-Gvecg-P500027.u19	Artur-J-G3058
Artur-J-Gvecg-P500027.u2	Artur-J-G3057
Artur-J-Gvecg-P500027.u20	Artur-J-G3057
Artur-J-Gvecg-P500027.u21	Artur-J-G3057
Artur-J-Gvecg-P500027.u22	Artur-J-G3058
Artur-J-Gvecg-P500027.u23	Artur-J-G3057
Artur-J-Gvecg-P500027.u24	Artur-J-G3059
Artur-J-Gvecg-P500027.u25	Artur-J-G3057
Artur-J-Gvecg-P500027.u26	Artur-J-G3059
Artur-J-Gvecg-P500027.u27	Artur-J-G3057
Artur-J-Gvecg-P500027.u28	Artur-J-G3059
Artur-J-Gvecg-P500027.u29	Artur-J-G3057
Artur-J-Gvecg-P500027.u30	Artur-J-G3059
Artur-J-Gvecg-P500027.u31	Artur-J-G3057
Artur-J-Gvecg-P500027.u32	Artur-J-G3059
Artur-J-Gvecg-P500027.u34	Artur-J-G3059
Artur-J-Gvecg-P500027.u36	Artur-J-G3057
Artur-J-Gvecg-P500027.u37	Artur-J-G3059
Artur-J-Gvecg-P500027.u38	Artur-J-G3057
Artur-J-Gvecg-P500027.u4	Artur-J-G3060
Artur-J-Gvecg-P500027.u40	Artur-J-G3060
Artur-J-Gvecg-P500027.u41	Artur-J-G3057
Artur-J-Gvecg-P500027.u42	Artur-J-G3060
Artur-J-Gvecg-P500027.u43	Artur-J-G3060
Artur-J-Gvecg-P500027.u44	Artur-J-G3057
Artur-J-Gvecg-P500027.u46	Artur-J-G3060
Artur-J-Gvecg-P500027.u47	Artur-J-G3057
Artur-J-Gvecg-P500027.u48	Artur-J-G3060
Artur-J-Gvecg-P500027.u5	Artur-J-G3057
Artur-J-Gvecg-P500027.u50	Artur-J-G3059
Artur-J-Gvecg-P500027.u51	Artur-J-G3057
Artur-J-Gvecg-P500027.u52	Artur-J-G3057
Artur-J-Gvecg-P500027.u53	Artur-J-G3060
Artur-J-Gvecg-P500027.u54	Artur-J-G3057
Artur-J-Gvecg-P500027.u55	Artur-J-G3060
Artur-J-Gvecg-P500027.u56	Artur-J-G3057
Artur-J-Gvecg-P500027.u57	Artur-J-G3058
Artur-J-Gvecg-P500027.u58	Artur-J-G3060
Artur-J-Gvecg-P500027.u59	Artur-J-G3057
Artur-J-Gvecg-P500027.u60	Artur-J-G3058
Artur-J-Gvecg-P500027.u61	Artur-J-G3057
Artur-J-Gvecg-P500027.u62	Artur-J-G3059
Artur-J-Gvecg-P500027.u63	Artur-J-G3057
Artur-J-Gvecg-P500027.u64	Artur-J-G3059
Artur-J-Gvecg-P500027.u65	Artur-J-G3057
Artur-J-Gvecg-P500027.u67	Artur-J-G3059
Artur-J-Gvecg-P500027.u68	Artur-J-G3060
Artur-J-Gvecg-P500027.u7	Artur-J-G3060
Artur-J-Gvecg-P500027.u70	Artur-J-G3058
Artur-J-Gvecg-P500027.u71	Artur-J-G3060
Artur-J-Gvecg-P500027.u73	Artur-J-G3057
Artur-J-Gvecg-P500027.u74	Artur-J-G3059
Artur-J-Gvecg-P500027.u76	Artur-J-G3059
Artur-J-Gvecg-P500027.u78	Artur-J-G3059
Artur-J-Gvecg-P500027.u8	Artur-J-G3057
Artur-J-Gvecg-P500027.u80	Artur-J-G3057
Artur-J-Gvecg-P500027.u9	Artur-J-G3060
Artur-J-Gvecg-P500028.u10	Artur-J-G3062
Artur-J-Gvecg-P500028.u12	Artur-J-G3062
Artur-J-Gvecg-P500028.u14	Artur-J-G3063
Artur-J-Gvecg-P500028.u15	Artur-J-G3061
Artur-J-Gvecg-P500028.u17	Artur-J-G3063
Artur-J-Gvecg-P500028.u18	Artur-J-G3062
Artur-J-Gvecg-P500028.u19	Artur-J-G3063
Artur-J-Gvecg-P500028.u2	Artur-J-G3061
Artur-J-Gvecg-P500028.u21	Artur-J-G3062
Artur-J-Gvecg-P500028.u22	Artur-J-G3063
Artur-J-Gvecg-P500028.u24	Artur-J-G3061
Artur-J-Gvecg-P500028.u26	Artur-J-G3062
Artur-J-Gvecg-P500028.u28	Artur-J-G3062
Artur-J-Gvecg-P500028.u29	Artur-J-G3063
Artur-J-Gvecg-P500028.u30	Artur-J-G3061
Artur-J-Gvecg-P500028.u4	Artur-J-G3063
Artur-J-Gvecg-P500028.u6	Artur-J-G3063
Artur-J-Gvecg-P500028.u8	Artur-J-G3063
Artur-J-Gvecg-P500029.u2	Artur-J-G3064
Artur-J-Gvecg-P500030.u1	Artur-J-G3065
Artur-J-Gvecg-P500030.u3	Artur-J-G3065
Artur-J-Gvecg-P500030.u5	Artur-J-G3065
Artur-J-Gvecg-P500032.u1	Artur-J-G3067
